title,sub_title,description,sac_code,rate
"Maintenance, repair and installation (except construction) services",Installation services (other than construction) ,"Installation services of fabricated metal products, except machinery and equipment.",SAC 998731,18
Construction Services,Building completion and finishing services ,"Services involving Repair, alterations, additions, replacements, maintenance of the completion/finishing works covered above.",SAC 995479,18
Construction Services,Building completion and finishing services ,Other building completion and finishing services n.e.c.,SAC 995478,18
Construction Services,Building completion and finishing services ,Fencing and railing services,SAC 995477,18
"Maintenance, repair and installation (except construction) services",Repair services of other goods ,Maintenance and repair services of other goods n.e.c.,SAC 998729,18
Construction Services,Building completion and finishing services ,"Other floor laying, wall covering and wall papering services",SAC 995475,18
"Sewage and waste collection, treatment and disposal and other environmental protection services",Remediation services ,Site remediation and clean-up services,SAC 999441,18
"Maintenance, repair and installation (except construction) services",Installation services (other than construction) ,Installation services of other goods n.e.c.,SAC 998739,18
Construction Services,Building completion and finishing services ,Joinery and carpentry services,SAC 995476,18
"Maintenance, repair and installation (except construction) services",Installation services (other than construction) ,"Installation services of professional medical machinery and equipment, and precision and optical instruments.",SAC 998735,18
"Other professional, technical and business services","Other professional, technical and business services. ","Other professional, technical and business services n.e.c.",SAC 998399,18
"Other professional, technical and business services","Other professional, technical and business services. ",Trademarks and franchises,SAC 998396,18
"Other professional, technical and business services","Other professional, technical and business services. ",Translation and interpretation services,SAC 998395,18
"Other professional, technical and business services","Other professional, technical and business services. ",Sponsorship Services & Brand Promotion Services,SAC 998397,18
Research and development services,Research and development originals ,Research and development originals in other fields n.e.c.,SAC 998145,18
"Maintenance, repair and installation (except construction) services",Installation services (other than construction) ,Installation services of electrical machinery and apparatus n.e.c.,SAC 998736,18
Research and development services,Research and development originals ,Research and development originals in biotechnology,SAC 998143,18
Services provided by extraterritorial organizations and bodies.,Services provided by extraterritorial organizations and bodies. ,Services by a foreign diplomatic mission/ extra-territorial organizations and bodies located in India.,SAC 999900,0
"Other professional, technical and business services","Other professional, technical and business services. ",Original compilations of facts/information,SAC 998394,18
Research and development services,Research and development originals ,Research and development originals in pharmaceuticals,SAC 998141,18
Research and development services,Research and development originals ,Research and development originals in agriculture,SAC 998142,18
Research and development services,Research and development originals ,Research and development originals in computer related sciences,SAC 998144,18
Research and development services,Interdisciplinary research services. ,Interdisciplinary research and experimental development services.,SAC 998130,18
Research and development services,Research and experimental development services in social sciences and humanities. ,Research and experimental development services in humanities,SAC 998122,18
Research and development services,Research and experimental development services in social sciences and humanities. ,Research and experimental development services in social sciences.,SAC 998121,18
"Telecommunications, broadcasting and information supply services","Broadcasting, programming and programme distribution services ",Broadcasting services,SAC 998465,18
Research and development services,Research and experimental development services in natural sciences and engineering. ,Research and experimental development services in natural sciences,SAC 998111,18
"Telecommunications, broadcasting and information supply services","Broadcasting, programming and programme distribution services ",Television channel programmes,SAC 998464,18
Research and development services,Research and experimental development services in natural sciences and engineering. ,Research and experimental development services in engineering and technology,SAC 998112,18
Research and development services,Research and experimental development services in natural sciences and engineering. ,Research and experimental development services in medical sciences and pharmacy.,SAC 998113,18
"Telecommunications, broadcasting and information supply services","Broadcasting, programming and programme distribution services ",Radio channel programmes,SAC 998463,18
"Telecommunications, broadcasting and information supply services","Broadcasting, programming and programme distribution services ",Home programme distribution services,SAC 998466,18
Research and development services,Research and experimental development services in natural sciences and engineering. ,Research and experimental development services in agricultural sciences.,SAC 998114,18
"Telecommunications, broadcasting and information supply services",Library and archive services ,Operation services of historical archives including digital archives,SAC 998453,18
"Telecommunications, broadcasting and information supply services","Broadcasting, programming and programme distribution services ",Radio broadcast originals,SAC 998461,18
"Telecommunications, broadcasting and information supply services","Broadcasting, programming and programme distribution services ",Television broadcast originals,SAC 998462,18
"Telecommunications, broadcasting and information supply services",Library and archive services ,Library services,SAC 998451,18
"Telecommunications, broadcasting and information supply services",News agency services ,News agency services to audiovisual media,SAC 998443,18
"Telecommunications, broadcasting and information supply services",News agency services ,Services of independent journalists and press photographers,SAC 998442,18
"Telecommunications, broadcasting and information supply services",Library and archive services ,Operation services of public archives including digital archives,SAC 998452,18
"Telecommunications, broadcasting and information supply services",On-line content services ,Other on-line contents n.e.c.,SAC 998439,18
"Telecommunications, broadcasting and information supply services",News agency services ,News agency services to newspapers and periodicals,SAC 998441,12
"Telecommunications, broadcasting and information supply services",On-line content services ,Software downloads,SAC 998434,18
"Telecommunications, broadcasting and information supply services",On-line content services ,On-line audio content,SAC 998432,18
"Telecommunications, broadcasting and information supply services",On-line content services ,On-line video content,SAC 998433,18
"Telecommunications, broadcasting and information supply services",On-line content services ,"On-line text based information such as online books, newpapers, periodicals, directories etc",SAC 998431,12
"Telecommunications, broadcasting and information supply services",Internet telecommunications services ,Other Internet telecommunications services n.e.c.,SAC 998429,18
"Telecommunications, broadcasting and information supply services",Internet telecommunications services ,Audio conferencing and video conferencing over the Internet,SAC 998424,18
"Telecommunications, broadcasting and information supply services",Internet telecommunications services ,Internet access services in wired and wireless mode.,SAC 998422,18
"Telecommunications, broadcasting and information supply services",Internet telecommunications services ,Internet backbone services,SAC 998421,18
"Telecommunications, broadcasting and information supply services",Telephony and other telecommunications services ,"Other telecommunications services including Fax services, Telex services n.e.c.",SAC 998419,18
"Telecommunications, broadcasting and information supply services",Telephony and other telecommunications services ,Data transmission services,SAC 998415,18
"Telecommunications, broadcasting and information supply services",Telephony and other telecommunications services ,Mobile telecommunications services,SAC 998413,18
"Telecommunications, broadcasting and information supply services",Internet telecommunications services ,"Fax, telephony over the Internet",SAC 998423,18
"Telecommunications, broadcasting and information supply services",Telephony and other telecommunications services ,Carrier services,SAC 998411,18
"Telecommunications, broadcasting and information supply services",Telephony and other telecommunications services ,Fixed telephony services,SAC 998412,18
"Telecommunications, broadcasting and information supply services",Telephony and other telecommunications services ,Private network services,SAC 998414,18
Leasing or rental services with or without operator,Licensing services for the right to use intellectual property and similar products ,Licensing services for right to use other natural resources including telecommunication spectrum,SAC 997338,18
Leasing or rental services with or without operator,Licensing services for the right to use intellectual property and similar products ,Licensing services for the right to use minerals including its exploration and evaluation,SAC 997337,18
Leasing or rental services with or without operator,Licensing services for the right to use intellectual property and similar products ,Licensing services for the right to use trademarks and franchises,SAC 997336,18
Leasing or rental services with or without operator,Licensing services for the right to use intellectual property and similar products ,Licensing services for the right to use R&D products,SAC 997335,18
Leasing or rental services with or without operator,Licensing services for the right to use intellectual property and similar products ,Licensing services for the right to use other intellectual property products and other rescources n.e.c,SAC 997339,18
Leasing or rental services with or without operator,Licensing services for the right to use intellectual property and similar products ,"Licensing services for the right to reprint and copy manuscripts, books, journals and periodicals.",SAC 997334,18
Leasing or rental services with or without operator,Licensing services for the right to use intellectual property and similar products ,Licensing services for the right to reproduce original art works,SAC 997333,18
Leasing or rental services with or without operator,Licensing services for the right to use intellectual property and similar products ,Licensing services for the right to use computer software and databases.,SAC 997331,18
Leasing or rental services with or without operator,Licensing services for the right to use intellectual property and similar products ,"Licensing services for the right to broadcast and show original films, sound recordings, radio and television programme etc.",SAC 997332,18
Leasing or rental services with or without operator,Leasing or rental services concerning other goods ,Leasing or rental services concerning other goods,SAC 997329,18
Leasing or rental services with or without operator,Leasing or rental services concerning other goods ,Leasing or rental services concerning do-it-yourself machinery and equipment,SAC 997327,18
Leasing or rental services with or without operator,Leasing or rental services concerning other goods ,"Leasing or rental services concerning textiles, clothing and footwear.",SAC 997326,5
Leasing or rental services with or without operator,Leasing or rental services concerning other goods ,Leasing or rental services concerning pleasure and leisure equipment.,SAC 997324,18
Leasing or rental services with or without operator,Leasing or rental services concerning other goods ,Leasing or rental services concerning household linen.,SAC 997325,18
Leasing or rental services with or without operator,Leasing or rental services concerning other goods ,Leasing or rental services concerning furniture and other household appliances,SAC 997323,18
Leasing or rental services with or without operator,Leasing or rental services concerning other goods ,Leasing or rental services concerning video tapes and disks (Home entertainment equipment ),SAC 997322,18
Leasing or rental services with or without operator,Leasing or rental services concerning other goods ,"Leasing or rental services concerning televisions, radios, video cassette recorders, projectors, audio systems and related equipment and accessories (Home entertainment equipment )",SAC 997321,18
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning other machinery and equipments with or without operator,SAC 997319,18
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning telecommunications equipment with or without operator,SAC 997316,18
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning computers with or without operators,SAC 997315,18
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning agricultural machinery and equipment with or without operator,SAC 997312,0
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning construction machinery and equipment with or without operator,SAC 997313,18
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,"Leasing or rental services concerning transport equipments including containers, with or without operator",SAC 997311,18
Leasing or rental services with or without operator,Leasing or rental services concerning machinery and equipment with or without operator ,Leasing or rental services concerning office machinery and equipment (except computers) with or without operator,SAC 997314,18
Legal and accounting services,Tax consultancy and preparation services ,Individual tax preparation and planning services,SAC 998232,18
Legal and accounting services,Insolvency and receivership services ,Insolvency and receivership services,SAC 998240,18
Legal and accounting services,Tax consultancy and preparation services ,Corporate tax consulting and preparation services,SAC 998231,18
Legal and accounting services,"Accounting, auditing and bookkeeping services ",Other similar services n.e.c,SAC 998224,18
Legal and accounting services,"Accounting, auditing and bookkeeping services ",Payroll services,SAC 998223,18
Legal and accounting services,"Accounting, auditing and bookkeeping services ",Accounting and bookkeeping services,SAC 998222,18
Legal and accounting services,"Accounting, auditing and bookkeeping services ",Financial auditing services,SAC 998221,18
Legal and accounting services,Legal services ,Other legal services n.e.c.,SAC 998216,18
Legal and accounting services,Legal services ,Arbitration and conciliation services,SAC 998215,18
Legal and accounting services,Legal services ,Legal documentation and certification services concerning other documents.,SAC 998214,18
Legal and accounting services,Legal services ,"Legal documentation and certification services concerning patents, copyrights and other intellectual property rights.",SAC 998213,18
Legal and accounting services,Legal services ,Legal advisory and representation services concerning other fields of law.,SAC 998212,18
"Other professional, technical and business services","Other professional, technical and business services. ",Scientific and technical consulting services,SAC 998393,18
Legal and accounting services,Legal services ,Legal advisory and representation services concerning criminal law.,SAC 998211,18
"Other professional, technical and business services","Other professional, technical and business services. ",Design originals,SAC 998392,18
"Other professional, technical and business services","Other professional, technical and business services. ","Specialty design services including interior design, fashion design, industrial design and other specialty design services",SAC 998391,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Photographic & videographic processing services,SAC 998386,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Restoration and retouching services of photography,SAC 998385,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Other Photography & Videography and their processing services n.e.c.,SAC 998387,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Specialty photography services,SAC 998384,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Portrait photography services,SAC 998381,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Event photography and event videography services,SAC 998383,18
"Other professional, technical and business services",Photography & Videography and their processing services ,Advertising and related photography services,SAC 998382,18
"Other professional, technical and business services",Market research and public opinion polling services ,Public opinion polling services,SAC 998372,18
"Other professional, technical and business services",Market research and public opinion polling services ,Market research services,SAC 998371,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Sale of other advertising space or time (except on commission),SAC 998366,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Sale of Internet advertising space,SAC 998365,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Sale of TV and radio advertising time,SAC 998364,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Sale of advertising space in print media (except on commission),SAC 998363,5
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,"Purchase or sale of advertising space or time, on commission",SAC 998362,18
"Other professional, technical and business services",Advertising services and provision of advertising space or time. ,Advertising Services,SAC 998361,18
"Other professional, technical and business services",Veterinary services ,Other veterinary services n.e.c.,SAC 998359,18
"Other professional, technical and business services",Veterinary services ,Veterinary services for livestock,SAC 998352,0
"Other professional, technical and business services",Veterinary services ,Veterinary services for pet animals,SAC 998351,0
"Other professional, technical and business services",Scientific and other technical services ,Certification and authentication of works of art,SAC 998348,18
"Other professional, technical and business services",Scientific and other technical services ,Technical testing and analysis services,SAC 998346,18
"Other professional, technical and business services",Scientific and other technical services ,"Certification of ships, aircraft, dams, etc.",SAC 998347,18
"Other professional, technical and business services",Scientific and other technical services ,Other technical and scientific services n.e.c.,SAC 998349,18
"Other professional, technical and business services",Scientific and other technical services ,Surface surveying and map-making services,SAC 998344,18
"Other professional, technical and business services",Scientific and other technical services ,Mineral exploration and evaluation,SAC 998343,18
"Other professional, technical and business services",Scientific and other technical services ,Geological and geophysical consulting services,SAC 998341,18
"Other professional, technical and business services",Scientific and other technical services ,Weather forecasting and meteorological services,SAC 998345,18
"Other professional, technical and business services",Scientific and other technical services ,Subsurface surveying services,SAC 998342,18
"Other professional, technical and business services",Engineering services ,Engineering services for telecommunications and broadcasting projects,SAC 998336,18
"Other professional, technical and business services",Engineering services ,Engineering services for power projects,SAC 998335,18
"Other professional, technical and business services",Engineering services ,Project management services for construction projects,SAC 998339,18
"Other professional, technical and business services",Engineering services ,Engineering services for industrial and manufacturing projects,SAC 998333,18
"Other professional, technical and business services",Engineering services ,Engineering services for transportation projects,SAC 998334,18
"Other professional, technical and business services",Engineering services ,Engineering services for building projects,SAC 998332,18
"Other professional, technical and business services",Engineering services ,"Engineering services for waste management projects (hazardous and non-hazardous), for water, sewerage and drainage projects.",SAC 998337,18
"Other professional, technical and business services",Engineering services ,"Licensing services for the right to broadcast and show original films, sound recordings, radio and television programme etc.",SAC 998332,18
"Other professional, technical and business services",Engineering services ,Engineering services for other projects n.e.c.,SAC 998338,18
"Other professional, technical and business services",Engineering services ,Engineering advisory services,SAC 998331,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Landscape architectural services and advisory services,SAC 998328,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Project site master planning services,SAC 998327,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Rural land planning services,SAC 998326,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Urban planning services,SAC 998325,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Historical restoration architectural services,SAC 998324,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Architectural services for non-residential building projects,SAC 998323,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Architectural advisory services,SAC 998321,18
"Other professional, technical and business services","Architectural services, urban and land planning and landscape architectural services ",Architectural services for residential building projects,SAC 998322,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Other information technology services n.e.c,SAC 998319,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,IT infrastructure and network management services,SAC 998316,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Hosting and information technology (IT) infrastructure provisioning services,SAC 998315,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Information technology (IT) consulting and support services,SAC 998313,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,"Management consulting and management services including financial, strategic, human resources, marketing, operations and supply chain management.",SAC 998311,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Information technology (IT) design and development services,SAC 998314,18
Support services,Other support services ,Other information services n.e.c.,SAC 998598,18
Support services,Other support services ,Landscape care and maintenance services,SAC 998597,18
Support services,Other support services ,"Events, Exhibitions, Conventions and trade shows organisation and assistance services",SAC 998596,18
Support services,Other support services ,"Specialized office support services such as duplicating services, mailing services, document preparation etc",SAC 998595,18
Support services,Other support services ,Combined office administrative services,SAC 998594,18
Support services,Other support services ,Telephone-based support services,SAC 998593,18
"Other professional, technical and business services",Management consulting and management services; information technology services. ,Business consulting services including pubic relations services,SAC 998312,18
Support services,Other support services ,Collection agency services,SAC 998592,18
Support services,"Travel arrangement, tour operator and related services ",Tourism promotion and visitor information services,SAC 998557,18
Support services,Other support services ,Credit reporting & rating services,SAC 998591,18
Support services,Other support services ,Other support services n.e.c.,SAC 998599,18
Support services,"Travel arrangement, tour operator and related services ",Other travel arrangement and related services n.e.c,SAC 998559,18
Support services,"Travel arrangement, tour operator and related services ",Tour operator services,SAC 998555,5
Support services,"Travel arrangement, tour operator and related services ",Tourist guide services,SAC 998556,18
Support services,"Travel arrangement, tour operator and related services ","Reservation services for accommodation, cruises and package tours",SAC 998552,18
Support services,"Travel arrangement, tour operator and related services ","Reservation services for convention centres, congress centres and exhibition halls",SAC 998553,18
Support services,Packaging services ,Other packaging services n.e.c,SAC 998549,18
Support services,"Travel arrangement, tour operator and related services ",Reservation services for transportation,SAC 998551,18
Support services,Packaging services ,Coin and currency packing services,SAC 998542,18
Support services,Packaging services ,Parcel packing and gift wrapping,SAC 998541,18
Support services,"Travel arrangement, tour operator and related services ","Reservation services for event tickets, cinema halls, entertainment and recreational services and other reservation services",SAC 998554,18
Support services,Packaging services ,Packaging services of goods for others,SAC 998540,18
Support services,Cleaning services ,Other cleaning services n.e.c.,SAC 998539,18
Support services,Cleaning services ,Cleaning of transportation equipment,SAC 998538,18
Support services,Cleaning services ,Exterior cleaning of buildings of all types,SAC 998537,18
Support services,Cleaning services ,Furnace and chimney cleaning services,SAC 998536,18
Support services,Cleaning services ,Sterilization of objects or premises (operating rooms),SAC 998535,18
Support services,Cleaning services ,General cleaning services,SAC 998533,18
Support services,Cleaning services ,Specialized cleaning services for reservoirs and tanks,SAC 998534,18
Support services,Cleaning services ,Window cleaning services,SAC 998532,18
Support services,Cleaning services ,Disinfecting and exterminating services,SAC 998531,18
Support services,Investigation and security services ,Fingerprinting services,SAC 998528,18
Support services,Investigation and security services ,Other security services n.e.c.,SAC 998529,18
Support services,Investigation and security services ,Polygraph services,SAC 998527,18
Support services,Investigation and security services ,Guard services,SAC 998525,18
Support services,Investigation and security services ,Armoured car services,SAC 998524,18
Support services,Investigation and security services ,Security systems services,SAC 998523,18
Support services,Investigation and security services ,Training of guard dogs,SAC 998526,18
Support services,Investigation and security services ,Security consulting services,SAC 998522,18
Support services,Investigation and security services ,Investigation services,SAC 998521,18
Support services,Employment services including personnel search/referral service & labour supply service ,Other employment & labour supply services n.e.c,SAC 998519,18
Support services,Employment services including personnel search/referral service & labour supply service ,Co-employment staffing services,SAC 998517,18
Support services,Employment services including personnel search/referral service & labour supply service ,Temporary staffing-to-permanent placement services,SAC 998516,18
Support services,Employment services including personnel search/referral service & labour supply service ,Long-term staffing (pay rolling) services,SAC 998515,18
Support services,Employment services including personnel search/referral service & labour supply service ,Temporary staffing services,SAC 998514,18
Support services,Employment services including personnel search/referral service & labour supply service ,Contract staffing services,SAC 998513,18
Support services,Employment services including personnel search/referral service & labour supply service ,"Permanent placement services, other than executive search services",SAC 998512,18
